id,type,sourceName,sourceVersion,unit,creationDate,startDate,endDate,value,device
0,BodyMassIndex,Mi Fit,202009182325,count,2020-09-29 13:22:02-03:00,2020-09-29 13:21:38-03:00,2020-09-29 13:21:38-03:00,26.1106,
1,BodyMassIndex,Mi Fit,202009182325,count,2020-09-29 13:51:00-03:00,2020-09-29 13:21:38-03:00,2020-09-29 13:21:38-03:00,26.1106,
2,Height,Saúde,14.0,cm,2020-09-18 23:00:35-03:00,2020-09-18 23:00:35-03:00,2020-09-18 23:00:35-03:00,184.0,
3,BodyMass,Saúde,14.0,kg,2020-09-18 23:00:35-03:00,2020-09-18 23:00:35-03:00,2020-09-18 23:00:35-03:00,86.5,
4,BodyMass,Mi Fit,202009182325,kg,2020-09-29 13:22:02-03:00,2020-09-29 13:21:38-03:00,2020-09-29 13:21:38-03:00,88.4,
5,BodyMass,Mi Fit,202009182325,kg,2020-09-29 13:51:00-03:00,2020-09-29 13:21:38-03:00,2020-09-29 13:21:38-03:00,88.4,
6,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:19:00-03:00,2020-09-18 00:00:00-03:00,2020-09-18 00:00:59-03:00,93.0,
7,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:19:00-03:00,2020-09-18 00:01:00-03:00,2020-09-18 00:01:59-03:00,88.0,
8,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:19:00-03:00,2020-09-18 00:02:00-03:00,2020-09-18 00:02:59-03:00,92.0,
9,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:19:00-03:00,2020-09-18 00:03:00-03:00,2020-09-18 00:03:59-03:00,77.0,
10,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:19:00-03:00,2020-09-18 00:04:00-03:00,2020-09-18 00:04:59-03:00,89.0,
11,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:19:00-03:00,2020-09-18 00:05:00-03:00,2020-09-18 00:05:59-03:00,93.0,
12,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:19:00-03:00,2020-09-18 00:06:00-03:00,2020-09-18 00:06:59-03:00,94.0,
13,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:19:00-03:00,2020-09-18 00:07:00-03:00,2020-09-18 00:07:59-03:00,93.0,
14,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:19:00-03:00,2020-09-18 00:08:00-03:00,2020-09-18 00:08:59-03:00,94.0,
15,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:19:00-03:00,2020-09-18 00:09:00-03:00,2020-09-18 00:09:59-03:00,81.0,
16,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:19:00-03:00,2020-09-18 00:10:00-03:00,2020-09-18 00:10:59-03:00,77.0,
17,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:19:00-03:00,2020-09-18 00:11:00-03:00,2020-09-18 00:11:59-03:00,90.0,
18,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:19:00-03:00,2020-09-18 00:12:00-03:00,2020-09-18 00:12:59-03:00,79.0,
19,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:19:00-03:00,2020-09-18 00:13:00-03:00,2020-09-18 00:13:59-03:00,90.0,
20,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:19:00-03:00,2020-09-18 00:14:00-03:00,2020-09-18 00:14:59-03:00,92.0,
21,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:19:00-03:00,2020-09-18 00:15:00-03:00,2020-09-18 00:15:59-03:00,80.0,
22,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:19:00-03:00,2020-09-18 00:16:00-03:00,2020-09-18 00:16:59-03:00,90.0,
23,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:19:00-03:00,2020-09-18 00:17:00-03:00,2020-09-18 00:17:59-03:00,94.0,
24,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:19:00-03:00,2020-09-18 00:18:00-03:00,2020-09-18 00:18:59-03:00,94.0,
25,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:19:00-03:00,2020-09-18 00:19:00-03:00,2020-09-18 00:19:59-03:00,82.0,
26,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:19:00-03:00,2020-09-18 00:20:00-03:00,2020-09-18 00:20:59-03:00,84.0,
27,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:19:00-03:00,2020-09-18 00:21:00-03:00,2020-09-18 00:21:59-03:00,85.0,
28,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:19:00-03:00,2020-09-18 00:23:00-03:00,2020-09-18 00:23:59-03:00,80.0,
29,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:19:00-03:00,2020-09-18 00:24:00-03:00,2020-09-18 00:24:59-03:00,81.0,
30,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:19:00-03:00,2020-09-18 00:25:00-03:00,2020-09-18 00:25:59-03:00,91.0,
31,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:19:00-03:00,2020-09-18 00:26:00-03:00,2020-09-18 00:26:59-03:00,84.0,
32,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:19:00-03:00,2020-09-18 00:27:00-03:00,2020-09-18 00:27:59-03:00,91.0,
33,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:19:00-03:00,2020-09-18 00:28:00-03:00,2020-09-18 00:28:59-03:00,81.0,
